year,quarter,month,flight_date,reporting_airline,tail_number,flight_number,origin,dest,crs_dep_time,dep_time,dep_delay_minutes,cancelled,cancelletion_code,air_time,distance,weather_delay
2021,1,3,3/1/2021 12:00:00 AM,UA,N13718,1521,IAD,CLE,1800,1752,0.00,0.00,,58.00,288.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N13718,547,CLE,IAD,0830,0820,0.00,0.00,,52.00,288.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N14214,1704,CLE,ORD,1615,1606,0.00,0.00,,61.00,315.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N14214,1739,MCO,CLE,1245,1237,0.00,0.00,,129.00,895.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N14214,2079,CLE,MCO,0815,0805,0.00,0.00,,125.00,895.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N24211,1128,CLE,RSW,1100,1103,3.00,0.00,,142.00,1025.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N24211,402,RSW,CLE,1445,1445,0.00,0.00,,138.00,1025.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N24211,749,EWR,CLE,0825,0821,0.00,0.00,,74.00,404.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N27213,293,CLE,DEN,0845,0835,0.00,0.00,,173.00,1201.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N37273,397,DEN,CLE,1815,1813,0.00,0.00,,143.00,1201.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N37274,737,CLE,EWR,0715,0714,0.00,0.00,,60.00,404.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N37422,1975,FLL,CLE,1230,1227,0.00,0.00,,146.00,1062.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N37437,405,DEN,CLE,1015,1010,0.00,0.00,,139.00,1201.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N37437,486,CLE,DEN,1700,1701,1.00,0.00,,173.00,1201.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N38727,1825,CLE,ORD,0730,0732,2.00,0.00,,81.00,315.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,UA,N39728,2475,ORD,CLE,1800,1759,0.00,0.00,,47.00,315.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N73251,2075,ORD,CLE,1415,1409,0.00,0.00,,45.00,315.00,
2021,1,3,3/1/2021 12:00:00 AM,UA,N75435,1419,CLE,FLL,0800,0750,0.00,0.00,,151.00,1062.00,
